Applaud.	Pumalakpak.
My mother is looking for large white clothes.	Naghahanap yung inay ko ng malaking puti na kasuotan.
My mother is looking for large yellow clothes.	Naghahanap yung inay ko ng malaking dilaw na kasuotan.
My mother is looking for large yellow pants.	Naghahanap yung inay ko ng malaking dilaw na salawal.
My mother is looking for large yellow shoes.	Naghahanap yung inay ko ng malaking dilaw na sapatos.
My mother takes eight medicines every afternoon.	Ang nanay ko ay umiinom ng walong gamot tuwing tanghali.
My mother takes eight medicines every afternoon.	Ang aking nanay ay umiinom ng walong gamot tuwing tanghali.
My mother takes eight medicines every evening.	Ang nanay ko ay umiinom ng walong gamot tuwing gabi.
My mother takes eight medicines every evening.	Ang aking nanay ay umiinom ng walong gamot tuwing gabi.
My mother takes eight medicines every morning.	Ang nanay ko ay umiinom ng walong gamot tuwing umaga.
My mother takes eight medicines every morning.	Ang aking nanay ay umiinom ng walong gamot tuwing umaga.
My mother takes eleven medicines every afternoon.	Ang nanay ko ay umiinom ng labing-isang gamot tuwing tanghali.
My mother takes eleven medicines every afternoon.	Ang aking nanay ay umiinom ng labing-isang gamot tuwing tanghali.
My mother takes eleven medicines every evening.	Ang nanay ko ay umiinom ng labing-isang gamot tuwing gabi.
My mother takes eleven medicines every evening.	Ang aking nanay ay umiinom ng labing-isang gamot tuwing gabi.
My mother takes eleven medicines every morning.	Ang nanay ko ay umiinom ng labing-isang gamot tuwing umaga.
My mother takes eleven medicines every morning.	Ang aking nanay ay umiinom ng labing-isang gamot tuwing umaga.
My mother takes five medicines every afternoon.	Ang nanay ko ay umiinom ng limang gamot tuwing tanghali.
My mother takes five medicines every afternoon.	Ang aking nanay ay umiinom ng limang gamot tuwing tanghali.
My mother takes five medicines every evening.	Ang aking nanay ay umiinom ng limang gamot tuwing gabi.
My mother takes five medicines every morning.	Ang nanay ko ay umiinom ng limang gamot tuwing umaga.
My mother takes five medicines every morning.	Ang aking nanay ay umiinom ng limang gamot tuwing umaga.
My mother takes one medicine every afternoon.	Ang nanay ko ay umiinom ng isang gamot tuwing tanghali.
My mother takes one medicine every afternoon.	Ang aking nanay ay umiinom ng isang gamot tuwing tanghali.
My mother takes one medicine every morning.	Ang aking nanay ay umiinom ng isang gamot tuwing umaga.
My mother takes seven medicines every afternoon.	Ang nanay ko ay umiinom ng pitong gamot tuwing tanghali.
My mother takes seven medicines every afternoon.	Ang aking nanay ay umiinom ng pitong gamot tuwing tanghali.
My mother takes seven medicines every evening.	Ang nanay ko ay umiinom ng pitong gamot tuwing gabi.
My mother takes seven medicines every evening.	Ang aking nanay ay umiinom ng pitong gamot tuwing gabi.
My mother takes seven medicines every morning.	Ang nanay ko ay umiinom ng pitong gamot tuwing umaga.
My mother takes seven medicines every morning.	Ang aking nanay ay umiinom ng pitong gamot tuwing umaga.
My mother takes ten medicines every afternoon.	Ang nanay ko ay umiinom ng sampung gamot tuwing tanghali.
My mother takes ten medicines every afternoon.	Ang aking nanay ay umiinom ng sampung gamot tuwing tanghali.
My mother takes ten medicines every evening.	Ang aking nanay ay umiinom ng sampung gamot tuwing gabi.
My mother takes ten medicines every morning.	Ang nanay ko ay umiinom ng sampung gamot tuwing umaga.
My mother takes ten medicines every morning.	Ang aking nanay ay umiinom ng sampung gamot tuwing umaga.
My mother takes thirteen medicines every afternoon.	Ang nanay ko ay umiinom ng labing-tatlong gamot tuwing tanghali.
My mother takes thirteen medicines every afternoon.	Ang aking nanay ay umiinom ng labing-tatlong gamot tuwing tanghali.
My mother takes thirteen medicines every evening.	Ang nanay ko ay umiinom ng labing-tatlong gamot tuwing gabi.
My mother takes thirteen medicines every evening.	Ang aking nanay ay umiinom ng labing-tatlong gamot tuwing gabi.
My mother takes thirteen medicines every morning.	Ang nanay ko ay umiinom ng labing-tatlong gamot tuwing umaga.
My mother takes thirteen medicines every morning.	Ang aking nanay ay umiinom ng labing-tatlong gamot tuwing umaga.
My mother takes three medicines every afternoon.	Ang nanay ko ay umiinom ng tatlong gamot tuwing tanghali.
My mother takes three medicines every afternoon.	Ang aking nanay ay umiinom ng tatlong gamot tuwing tanghali.
My mother takes three medicines every evening.	Ang nanay ko ay umiinom ng tatlong gamot tuwing gabi.
My mother takes three medicines every evening.	Ang aking nanay ay umiinom ng tatlong gamot tuwing gabi.
My mother takes three medicines every morning.	Ang nanay ko ay umiinom ng tatlong gamot tuwing umaga.
My mother takes three medicines every morning.	Ang aking nanay ay umiinom ng tatlong gamot tuwing umaga.
My mother takes twelve medicines every afternoon.	Ang nanay ko ay umiinom ng labing-dalawang gamot tuwing tanghali.
My mother takes twelve medicines every afternoon.	Ang aking nanay ay umiinom ng labing-dalawang gamot tuwing tanghali.
My mother takes twelve medicines every evening.	Ang nanay ko ay umiinom ng labing-dalawang gamot tuwing gabi.
My mother takes twelve medicines every evening.	Ang aking nanay ay umiinom ng labing-dalawang gamot tuwing gabi.
My mother takes twelve medicines every morning.	Ang nanay ko ay umiinom ng labing-dalawang gamot tuwing umaga.
My mother takes twelve medicines every morning.	Ang aking nanay ay umiinom ng labing-dalawang gamot tuwing umaga.
My mother takes two medicines every afternoon.	Ang nanay ko ay umiinom ng dalawang gamot tuwing tanghali.
My mother takes two medicines every afternoon.	Ang aking nanay ay umiinom ng dalawang gamot tuwing tanghali.
My mother takes two medicines every evening.	Ang nanay ko ay umiinom ng dalawang gamot tuwing gabi.
My mother takes two medicines every evening.	Ang aking nanay ay umiinom ng dalawang gamot tuwing gabi.
My mother takes two medicines every morning.	Ang nanay ko ay umiinom ng dalawang gamot tuwing umaga.
My mother takes two medicines every morning.	Ang aking nanay ay umiinom ng dalawang gamot tuwing umaga.
My neighbor told me to drive to Boston.	Sinabihan ako ng kapitbahay ko na magmaneho papuntang Boston.
My uncle is looking for large black clothes.	Naghahanap yung tiyuhin ko ng malaking itim na kasuotan.
My uncle is looking for large black pants.	Naghahanap yung tiyuhin ko ng malaking itim na salawal.
My uncle is looking for large black shoes.	Naghahanap yung tiyuhin ko ng malaking itim na sapatos.
My uncle is looking for large blue clothes.	Naghahanap yung tiyuhin ko ng malaking bughaw na kasuotan.
My uncle is looking for large blue pants.	Naghahanap yung tiyuhin ko ng malaking bughaw na salawal.
My uncle is looking for large blue shoes.	Naghahanap yung tiyuhin ko ng malaking bughaw na sapatos.
My uncle is looking for large blue shorts.	Naghahanap yung tiyuhin ko ng malaking bughaw na korto.
My uncle is looking for large brown clothes.	Naghahanap yung tiyuhin ko ng malaking kayumanggi na kasuotan.
My uncle is looking for large brown pants.	Naghahanap yung tiyuhin ko ng malaking kayumanggi na salawal.
My uncle is looking for large brown shoes.	Naghahanap yung tiyuhin ko ng malaking kayumanggi na sapatos.
My uncle is looking for large brown shorts.	Naghahanap yung tiyuhin ko ng malaking kayumanggi na korto.
My uncle is looking for large cyan clothes.	Naghahanap yung tiyuhin ko ng malaking cyan na kasuotan.
My uncle is looking for large green clothes.	Naghahanap yung tiyuhin ko ng malaking berde na kasuotan.
My uncle is looking for large green pants.	Naghahanap yung tiyuhin ko ng malaking berde na salawal.
My uncle is looking for large green shoes.	Naghahanap yung tiyuhin ko ng malaking berde na sapatos.
My uncle is looking for large green shorts.	Naghahanap yung tiyuhin ko ng malaking berde na korto.
My uncle is looking for large grey clothes.	Naghahanap yung tiyuhin ko ng malaking kulay-abo na kasuotan.
My uncle is looking for large grey pants.	Naghahanap yung tiyuhin ko ng malaking kulay-abo na salawal.
My uncle is looking for large grey shoes.	Naghahanap yung tiyuhin ko ng malaking kulay-abo na sapatos.
My uncle is looking for large grey shorts.	Naghahanap yung tiyuhin ko ng malaking kulay-abo na korto.
My uncle is looking for large magenta clothes.	Naghahanap yung tiyuhin ko ng malaking magenta na kasuotan.
My uncle is looking for large magenta pants.	Naghahanap yung tiyuhin ko ng malaking magenta na salawal.
My uncle is looking for large magenta shoes.	Naghahanap yung tiyuhin ko ng malaking magenta na sapatos.
My uncle is looking for large magenta shorts.	Naghahanap yung tiyuhin ko ng malaking magenta na korto.
My uncle is looking for large orange clothes.	Naghahanap yung tiyuhin ko ng malaking kulay-dalandan na kasuotan.
My uncle is looking for large orange pants.	Naghahanap yung tiyuhin ko ng malaking kulay-dalandan na salawal.
My uncle is looking for large orange shoes.	Naghahanap yung tiyuhin ko ng malaking kulay-dalandan na sapatos.
My uncle is looking for large orange shorts.	Naghahanap yung tiyuhin ko ng malaking kulay-dalandan na korto.
My uncle is looking for large pink clothes.	Naghahanap yung tiyuhin ko ng malaking pink na kasuotan.
My uncle is looking for large red clothes.	Naghahanap yung tiyuhin ko ng malaking pula na kasuotan.
My uncle is looking for large violet clothes.	Naghahanap yung tiyuhin ko ng malaking byoleta na kasuotan.
My uncle is looking for large violet pants.	Naghahanap yung tiyuhin ko ng malaking byoleta na salawal.
My uncle is looking for large violet shoes.	Naghahanap yung tiyuhin ko ng malaking byoleta na sapatos.
My uncle is looking for large violet shorts.	Naghahanap yung tiyuhin ko ng malaking byoleta na korto.
My uncle is looking for large white clothes.	Naghahanap yung tiyuhin ko ng malaking puti na kasuotan.
My uncle is looking for large white pants.	Naghahanap yung tiyuhin ko ng malaking puti na salawal.
My uncle is looking for large white shoes.	Naghahanap yung tiyuhin ko ng malaking puti na sapatos.
My uncle is looking for large yellow clothes.	Naghahanap yung tiyuhin ko ng malaking dilaw na kasuotan.
My uncle is looking for large yellow pants.	Naghahanap yung tiyuhin ko ng malaking dilaw na salawal.
My uncle is looking for large yellow shoes.	Naghahanap yung tiyuhin ko ng malaking dilaw na sapatos.
My uncle is looking for large yellow shorts.	Naghahanap yung tiyuhin ko ng malaking dilaw na korto.
News Lady: Once you have your groceries scanned.	Babaing Nagbabalita: Matapos na ma-scan ang inyong mga grocery.
No, I left without telling anybody at home.	Hindi, umalis nga ako nang di nagpapaalam sa bahay.
Not special bulls must undergo picking.	Ang mga hindi espesyal na toro ay dapat sumailalim sa pagpili.
Not special kittens must undergo picking.	Ang mga hindi espesyal na kuting ay dapat sumailalim sa pagpili.
Not special pigs must undergo picking.	Ang mga hindi espesyal na baboy ay dapat sumailalim sa pagpili.
Not to mention, she is currently slaying the charts.	At saka kasalukuyan siyang nangunguna sa mga tsart.
November 12 is the day of his death.	Sa ika-labindalawa ng Nobyembre ang araw ng kanyang kamatayan.
November 14 is the day of his death.	Sa ika-labing-apat ng Nobyembre ang araw ng kanyang kamatayan.
November 16 is the day of his death.	Sa ika-labing-anim ng Nobyembre ang araw ng kanyang kamatayan.
November 19 is the day of his death.	Sa ika-labingsiyam ng Nobyembre ang araw ng kanyang kamatayan.
Now even their relationship was beginning to suffer.	Pati ang kanilang relasyon ngayon ay nagsisimula nang magdusa.
Now he was exerting his authority in another way.	Ginagamit niya ang kanyang awtoridad sa ibang paraan.
Nowadays, traveling costs a lot of money.	Malaking pera ang nagagastos mo sa paglalakbay sa panahon ngayon.
Of the entire world who is known as the antichrist.	Ng buong mundo na makikilala bilang antikristo.
On exam eve, he would distract others.	Tuwing bisperas ng pagsusulit, ginugulo nya ang atensyon ng iba.
On March 16,1521, Magellan arrived at the Philippines.	Noong Marso 16, 1521, dumating si Magellan ang Pilipinas.
One elephant is known for breaking ankles.	Kilala ang isang elepante sa kakayahan niyang mamali ng paa.
One out of two Filipinos have high cholesterol.	Isa sa dalawang Pilipino ang may mataas na kolesterol.
Only a few vehicles enter Halsema road.	Kaunti lamang mga sasakyan ang dumadaan sa kalsada ng Halsema.
Or split up the troublemakers as much as possible.	O baka pinaghihiwalay ang mga magugulo kung posible.
Our employees are from culturally diverse backgrounds.	Ang aming mga empleyado ay nagmumula sa mga magkakaibang kultura.
Our first ever branch is officially launched now!	Ang kauna-unahan naming sangay ay opisyal nang inilunsad ngayon!
Our guest speaker is a known business magnate.	Ang aming panauhing tagapagsalita ay isang kilalang makapangyarihang negosyante.
Our plane was flying over the Pacific Ocean.	Lumipad ang aming eroplano sa itaas ng Karagatang Pasipiko.
Overcharging of tourists is common worldwide.	Ang sobrang pagkarga ng mga turista ay karaniwan sa buong mundo.
Pastor Anderson: That is the last word of.	Pastor Anderson: Ito ang mga huling salita nga kapitulo.
Pastor Jimenez: I personally want this film.	Pastor Jimenez: Personal kung nais na magtagumpay ang pelikulang ito.
Pauling is almost discovering the structure of DNA.	Muntik nang matuklasan ni Pauling ang estruktura ng DNA.
People always believe what they want to believe.	Parating pinaniniwalaan ng mga tao ang gusto nilang paniwalaan.
Perhaps he came yesterday and I have forgotten it.	Maaaring pumunta siya kahapon at nakalimutan ko lang.
Please bring these files to the accounting department.	Paki-dala ng mga file na ito sa accounting department.
Please browse through the book to find the illustration.	Pakibuklat ang mga aklat upang makita ang ilustrasyon.
Please open your books to the fourth page.	Paki-buksan ang inyong mga aklat sa ika-apat na pahina.
Pretty soon you're going to have to show.	Hindi magtatagal kailangan na ninyong magpakita ng iba pa.
Princess Justine is a monarch born in Britain.	Si Princesa Justine ay isang maharlikang ipinanganak sa Britanya.
Quite a few people came to the meeting yesterday.	Kakaunting tao lang ang dumalo sa meeting kahapon.
Regular exercise can reduce blood pressure.	Ang regular na pag-eehersisyo ay maaaring mabawasan ang presyon ng dugo.
Remaining calm is essential during an asthma attack.	Ang pananatiling kalmado ay mahalaga kapag inaatake ng hika.
Remember that it's normal to not please everybody.	Tandaan na normal lang na hindi pasayahin ang lahat.
Rice is a widespread commodity in the Philippines.	Ang bigas ay isang laganap na kalakal sa Pilipinas.
Salamat sa lahat ng naglagay ng mga pangungusap dito.	Thank you to everybody who placed sentences here.
Salt water is a great conductor of electricity.	Ang maalat na tubig ay mabisang daluyan ng kuryente.
Saturday nearest Summer Solstice is on June 24.	Sabado na pinakamalapit sa pinakamaiksing araw ay Hunyo 24.
Scary statues are being talked about by dogs.	Pinaguusapan ng mga aso ang mga nakakatakot na rebulto.
Section Cedar is always united in any activity.	Ang seksyon Cedar ay laging nagkakaisa sa anumang aktibidad.
Seeing you leaving, all I feel is dying.	Nakikita kitang umaalis, ang tanging nararamdaman ay ang kamatayan.
September 11 is the day of his death.	Sa ika-labing-isa ng setyembre ang araw ng kanyang kamatayan.
September 12 is the day of his death.	Sa ika-labindalawa ng setyembre ang araw ng kanyang kamatayan.
September 13 is the day of his death.	Sa ika-labintatlo ng setyembre ang araw ng kanyang kamatayan.
September 14 is the day of his death.	Sa ika-labing-apat ng setyembre ang araw ng kanyang kamatayan.
September 15 is the day of his death.	Sa ika-labinlima ng setyembre ang araw ng kanyang kamatayan.
September 16 is the day of his death.	Sa ika-labing-anim ng setyembre ang araw ng kanyang kamatayan.
September 17 is the day of his death.	Sa ika-labinpito ng setyembre ang araw ng kanyang kamatayan.
September 18 is the day of his death.	Sa ika-labinwalo ng setyembre ang araw ng kanyang kamatayan.
September 19 is the day of his death.	Sa ika-labingsiyam ng setyembre ang araw ng kanyang kamatayan.
September 20 is the day of his death.	Sa ika-dalawampu ng setyembre ang araw ng kanyang kamatayan.
Set a low bar when creating routines.	Magtakda ng isang mababang pamantayan kapag lumilikha ng mga gagawin.
She bought not one, but ten computers.	Hindi lang isa ang binili nya, kundi sampung mga computer.
She eats apple to strengthen his bones.	Kumakain siya ng mansanas para tumibay ang kanyang mga buto.
She eats apple to strengthen his immune system.	Kumakain siya ng mansanas para lumakas ang kanyang resistensya.
She eats banana to strengthen his bones.	Kumakain siya ng saging para tumibay ang kanyang mga buto.
She eats banana to strengthen his immune system.	Kumakain siya ng saging para lumakas ang kanyang resistensya.
She eats cabbage to strengthen his bones.	Kumakain siya ng repolyo para tumibay ang kanyang mga buto.
She eats cabbage to strengthen his immune system.	Kumakain siya ng repolyo para lumakas ang kanyang resistensya.
She eats cucumber to strengthen his bones.	Kumakain siya ng pipino para tumibay ang kanyang mga buto.
She eats cucumber to strengthen his immune system.	Kumakain siya ng pipino para lumakas ang kanyang resistensya.
She eats eggplant to strengthen his bones.	Kumakain siya ng talong para tumibay ang kanyang mga buto.
She eats eggplant to strengthen his immune system.	Kumakain siya ng talong para lumakas ang kanyang resistensya.
She eats garlic to strengthen his bones.	Kumakain siya ng bawang para tumibay ang kanyang mga buto.
She eats garlic to strengthen his immune system.	Kumakain siya ng bawang para lumakas ang kanyang resistensya.
She eats grape to strengthen his immune system.	Kumakain siya ng ubas para lumakas ang kanyang resistensya.
She eats guava to strengthen his bones.	Kumakain siya ng bayabas para tumibay ang kanyang mga buto.
She eats guava to strengthen his immune system.	Kumakain siya ng bayabas para lumakas ang kanyang resistensya.
She eats jackfruit to strengthen his bones.	Kumakain siya ng langka para tumibay ang kanyang mga buto.
She eats jackfruit to strengthen his immune system.	Kumakain siya ng langka para lumakas ang kanyang resistensya.
She eats mango to strengthen his immune system.	Kumakain siya ng mangga para lumakas ang kanyang resistensya.
She eats milk to strengthen his immune system.	Kumakain siya ng gatas para lumakas ang kanyang resistensya.
She eats onion to strengthen his bones.	Kumakain siya ng sibuyas para tumibay ang kanyang mga buto.
She eats onion to strengthen his immune system.	Kumakain siya ng sibuyas para lumakas ang kanyang resistensya.
She eats pineapple to strengthen his bones.	Kumakain siya ng pinya para tumibay ang kanyang mga buto.
She eats pineapple to strengthen his immune system.	Kumakain siya ng pinya para lumakas ang kanyang resistensya.
She eats pomelo to strengthen his immune system.	Kumakain siya ng suha para lumakas ang kanyang resistensya.
She eats radish to strengthen his bones.	Kumakain siya ng labanos para tumibay ang kanyang mga buto.
She eats radish to strengthen his immune system.	Kumakain siya ng labanos para lumakas ang kanyang resistensya.
She eats squash to strengthen his bones.	Kumakain siya ng kalabasa para tumibay ang kanyang mga buto.
She eats squash to strengthen his immune system.	Kumakain siya ng kalabasa para lumakas ang kanyang resistensya.
She eats star apple to have beautiful skin.	Kumakain siya ng kaimito para gumanda ang kanyang balat.
She eats string bean to have beautiful skin.	Kumakain siya ng sitaw para gumanda ang kanyang balat.
She eats tamarind to strengthen his bones.	Kumakain siya ng sampalok para tumibay ang kanyang mga buto.
She eats tamarind to strengthen his immune system.	Kumakain siya ng sampalok para lumakas ang kanyang resistensya.
She eats tomato to strengthen his bones.	Kumakain siya ng kamatis para tumibay ang kanyang mga buto.
She eats tomato to strengthen his immune system.	Kumakain siya ng kamatis para lumakas ang kanyang resistensya.
She eats watermelon to strengthen his bones.	Kumakain siya ng pakwan para tumibay ang kanyang mga buto.
She eats watermelon to strengthen his immune system.	Kumakain siya ng pakwan para lumakas ang kanyang resistensya.
She gave him her name and telephone number.	Binigay niya ang kanyang pangalan at numero sa telepono.
She had established her company before 2008.	Natayo niya na ang kanyang kumpanya bago ang taong 2008.
She has a piano lesson after school today.	May piano lesson siya pagkatapos ng eskwela ngayong araw.
She has been absent since last Wednesday.	Siya ay hindi pa rin pumapasok mula nung nakaeaang Miyerkules.
She has cleaned her bathroom twice this week.	Dalawang beses niya nang nilinisan ang banyo ngayong linggo.
She has worked for three different companies so far.	Tatlong kumpanya na ang pinagtrabahuhan niya sa ngayon.
She helped the old man cross the road.	Tinulungan niya ang matandang lalaki na makatawid ng kalye.
She left a precious memory on her departure.	Isang magandang ala-ala ang iniwan niya sa kanyang paglisan.
She may realize later on what I meant.	Kalaunan, malalaman din niya kung anong ibig kong sabihin.
She needed to undergo operation on her arms.	Kinailangan niya sumailalim sa operasyon sa kanyang mga braso.
She needed to undergo operation on her breasts.	Kinailangan niya sumailalim sa operasyon sa kanyang mga suso.
She needed to undergo operation on her ears.	Kinailangan niya sumailalim sa operasyon sa kanyang mga tenga.
She needed to undergo operation on her elbows.	Kinailangan niya sumailalim sa operasyon sa kanyang mga siko.
She needed to undergo operation on her eyes.	Kinailangan niya sumailalim sa operasyon sa kanyang mga mata.
She needed to undergo operation on her feet.	Kinailangan niya sumailalim sa operasyon sa kanyang mga paa.
She needed to undergo operation on her fingers.	Kinailangan niya sumailalim sa operasyon sa kanyang mga daliri.
She needed to undergo operation on her hands.	Kinailangan niya sumailalim sa operasyon sa kanyang mga kamay.
She needed to undergo operation on her kidneys.	Kinailangan niya sumailalim sa operasyon sa kanyang mga bato.
She needed to undergo operation on her knees.	Kinailangan niya sumailalim sa operasyon sa kanyang mga tuhod.
She needed to undergo operation on her lungs.	Kinailangan niya sumailalim sa operasyon sa kanyang mga baga.
She needed to undergo operation on her shoulders.	Kinailangan niya sumailalim sa operasyon sa kanyang mga balikat.
She needs to undergo operation on her arms.	Kailangan niya sumailalim sa operasyon sa kanyang mga braso.
She needs to undergo operation on her arms.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga braso.
She needs to undergo operation on her breasts.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga suso.
She needs to undergo operation on her ears.	Kailangan niya sumailalim sa operasyon sa kanyang mga tenga.
She needs to undergo operation on her ears.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga tenga.
She needs to undergo operation on her elbows.	Kailangan niya sumailalim sa operasyon sa kanyang mga siko.
She needs to undergo operation on her elbows.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga siko.
She needs to undergo operation on her eyes.	Kailangan niya sumailalim sa operasyon sa kanyang mga mata.
She needs to undergo operation on her eyes.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga mata.
She needs to undergo operation on her feet.	Kailangan niya sumailalim sa operasyon sa kanyang mga paa.
She needs to undergo operation on her feet.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga paa.
She needs to undergo operation on her fingers.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga daliri.
She needs to undergo operation on her hands.	Kailangan niya sumailalim sa operasyon sa kanyang mga kamay.
She needs to undergo operation on her hands.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga kamay.
She needs to undergo operation on her kidneys.	Kailangan niya sumailalim sa operasyon sa kanyang mga bato.
She needs to undergo operation on her kidneys.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga bato.
She needs to undergo operation on her knees.	Kailangan niya sumailalim sa operasyon sa kanyang mga tuhod.
She needs to undergo operation on her knees.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga tuhod.
She needs to undergo operation on her lungs.	Kailangan niya sumailalim sa operasyon sa kanyang mga baga.
She needs to undergo operation on her lungs.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga baga.
She needs to undergo operation on her shoulders.	Kinakailangan niya sumailalim sa operasyon sa kanyang mga balikat.
She read an amusing story to the children.	Binabasa niya ang isang kuwentong nakakatuwa sa mga bata.
She seems to be always filled with positive emotions.	Mukhang lagi siyang puno ng mga positibong emosyon.
She served as the senior counsel at the agency.	Naglingkod siya bilang nakatataas na tagapayo sa ahensiya.
She shouted for help, but no one came.	Sumigaw siya para humingi ng tulong, pero walang dumating.
She spends most days interacting with the public.	Gumugugol siya ng maraming araw sa pakikipag-ugnayan sa publiko.
She started dancing when she was eight.	Siya ay nagsimulang sumayaw noong siya ay walong pitong gulang.
She talked to me about her family problems.	Sinabihan niya ako tungkol sa problema niya sa pamilya.
She told her children an amusing story.	Kinuwentuhan niya ang mga bata ng isang nakakatawa na kuwento.
She traveled around the world last year.	Siya ay nakapaglakbay na sa buong mundo noong nakaraang taon.
She wanted to know the name for water.	Gusto niyang malaman kung ano ang tawag sa tubig.
She was an athlete with limitless aspirations.	Siya ay isang atleta na may mga walang hangganang aspirasyon.
She was partly assisted by the tour operators.	Siya ay bahagyang tinulungan ng mga operator ng paglilibot.
She went on working till he called her.	Siya ay nagpatuloy na magtrabaho hanggang tinawag niya siya.
She will consult a doctor in the United States.	Magpapagamot siya sa isang doktor sa Estados Unidos.
She will eat cabbage to have beautiful skin.	Kakain siya ng repolyo para gumanda ang kanyang balat.
She will eat cucumber to have beautiful skin.	Kakain siya ng pipino para gumanda ang kanyang balat.
She will eat eggplant to have beautiful skin.	Kakain siya ng talong para gumanda ang kanyang balat.
She will eat jackfruit to have beautiful skin.	Kakain siya ng langka para gumanda ang kanyang balat.
She will eat pineapple to have beautiful skin.	Kakain siya ng pinya para gumanda ang kanyang balat.
She will eat squash to have beautiful skin.	Kakain siya ng kalabasa para gumanda ang kanyang balat.
She will eat tamarind to have beautiful skin.	Kakain siya ng sampalok para gumanda ang kanyang balat.
She will eat watermelon to have beautiful skin.	Kakain siya ng pakwan para gumanda ang kanyang balat.
She will go to England to consult a doctor.	Pupunta siyang Inglatera para magpagamot sa isang doktor.
She will go to France to consult a doctor.	Pupunta siyang Pransiya para magpagamot sa isang doktor.
She will go to Germany to consult a doctor.	Pupunta siyang Alemanya para magpagamot sa isang doktor.
She will need to undergo operation on her arm.	Kakailanganin niya sumailalim sa operasyon sa kanyang braso.
She will need to undergo operation on her back.	Kakailanganin niya sumailalim sa operasyon sa kanyang likod.
She will need to undergo operation on her brain.	Kakailanganin niya sumailalim sa operasyon sa kanyang utak.
She will need to undergo operation on her breast.	Kakailanganin niya sumailalim sa operasyon sa kanyang suso.
She will need to undergo operation on her chest.	Kakailanganin niya sumailalim sa operasyon sa kanyang dibdib.
She will need to undergo operation on her ear.	Kakailanganin niya sumailalim sa operasyon sa kanyang tenga.
She will need to undergo operation on her elbow.	Kakailanganin niya sumailalim sa operasyon sa kanyang siko.
She will need to undergo operation on her eye.	Kakailanganin niya sumailalim sa operasyon sa kanyang mata.
She will need to undergo operation on her finger.	Kakailanganin niya sumailalim sa operasyon sa kanyang daliri.
She will need to undergo operation on her foot.	Kakailanganin niya sumailalim sa operasyon sa kanyang paa.
She will need to undergo operation on her hand.	Kakailanganin niya sumailalim sa operasyon sa kanyang kamay.
She will need to undergo operation on her heart.	Kakailanganin niya sumailalim sa operasyon sa kanyang puso.
She will need to undergo operation on her kidney.	Kakailanganin niya sumailalim sa operasyon sa kanyang bato.
She will need to undergo operation on her knee.	Kakailanganin niya sumailalim sa operasyon sa kanyang tuhod.
She will need to undergo operation on her lung.	Kakailanganin niya sumailalim sa operasyon sa kanyang baga.
She will need to undergo operation on her nose.	Kakailanganin niya sumailalim sa operasyon sa kanyang ilong.
She will need to undergo operation on her shoulder.	Kakailanganin niya sumailalim sa operasyon sa kanyang balikat.
She will need to undergo operation on her spine.	Kakailanganin niya sumailalim sa operasyon sa kanyang galugod.
She will need to undergo operation on her tongue.	Kakailanganin niya sumailalim sa operasyon sa kanyang dila.
She woke later and looked at the clock.	Nagising siya at kani-kanina lamang at tinignan ang orasan.
She's been back to Korea twice already this year.	Dalawang beses na siyang bumaliksa Korea ngayong taon.
She's just listening to her playlist in repeat mode.	Nakikinig lang siya sa kanyang playlist nang paulit-ulit.
She's very happy after the successful product launch.	Masayang-masaya siya matapos ang tagumpay na paglulunsad ng produkto.
Short grains of raw rice is what you should choose.	Maikling butil ng bigas ang piliin mo.
Slouching can lead to bad blood circulation.	Ang paghukot ay maaaring humantong sa masamang sirkulasyon ng dugo.
Some carabaos are members of bicycle clubs.	Ang ilang kalabaw ay miyembro ng mga koponan ng bisikleta.
Some ducks like skating to mellow music.	May ilang bibe ang gustong mag-skate sa malumanay na musika.
Some lions like skating to mellow music.	May ilang leon ang gustong mag-skate sa malumanay na musika.
Some members of the evil society are fireflies.	Ang ilang miyembro ng masamang lipunan ay mga alitaptap.
Some sharks are members of bicycle clubs.	Ang ilang pating ay miyembro ng mga koponan ng bisikleta.
Some snakes like skating to mellow music.	May ilang ahas ang gustong mag-skate sa malumanay na musika.
Somehow we've forgotten to do that, isn't it?	Sa paanuman nakalimutan namin na gawin iyon, hindi ba?
Space travel was thought to be impossible.	Iniisip ng iba na imposible ang maglakbay sa ibang mundo.
Stalins pose at the podium, mid-speech, is characteristic.	Ang pose ni Stalin sa plataporma, mid-speech, ay katangian.
Steven Anderson: People in the past might.	Steven Anderson: Ang mga tao nung araw ay magtataka siguro.
Stimulating muscle tissues I didnt know I had.	Istimulateng muskulo tissues Hindi ko alam na mayroon ako.
Streaming schedule will be on point this Tuesday.	Ang iskedyul ng pagpapalabas ay magiging perpekto ngayong Martes.
