$3.5 million.	$3.5 milyon.
I canvass her.	Kinanvass ko siya.
I capture images.	Kumukuha ako ng mga larawan.
I catch a ball.	Ako ay sumasalo ng bola.
I caught some fish.	Nakahuli ako ng isda.
I caught the rat.	Nahuli ko ang daga.
I challenge her.	Hinamon ko siya.
I challenge you.	Hinahamon kita.
I change clothes.	Ako ay nagpapalit ng damit.
I changed my clothes.	Nagpalit ako ng damit.
I checked the score.	Tinignan ko ang iskor.
I chopped the onion.	Naghiwa ako ng sibuyas.
I cleaned the room.	Naglinis ako ng kwarto.
I close the window.	Sinasara ko ang bintana.
I closed the door.	Sinarado ko ang pinto.
I closed the window.	Sinasara ko ang bintana.
I comb my hair.	Sinusuklay ko ang aking buhok.
I come early.	Ako ay dumadating ng maaga.
I come from Holland.	Galing ako sa Holland.
I come home to you.	Umuuwi ako sa iyo.
I come in frequently.	Madalas akong pumasok.
I completed MBA.	Nakatapos ako ng MBA.
I confuse her.	Nililito ko siya.
I congratulate her.	Binati ko siya.
I cook breakfast.	Ako ay nagluluto ng agahan.
I cook frequently.	Madalas akong magluto.
I cooked adobo.	Nagluto ako ng adobo.
I cooked for us.	Ako ay nagluto para sa atin.
I cooked for you.	Ako ay nagluto para sa iyo.
I cooked rice.	Nagsaing ako.
I copied.	Kumopya ako.
I copied.	Nangopya ako.
I correct mistakes.	Itinatama ko ang mga mali.
I coughed.	Umubo ako.
I couldn't see them.	Hindi ko sila makita.
I couldn't stand.	Hindi ako makatayo.
I couldn't stop.	Hindi ako makatigil.
I couldn't wait.	Hindi ako makapaghintay.
I count books.	Ako ay nagbibilang ng libro.
I count frequently.	Madalas akong magbilang.
I count sheep.	Ako ay nagbibilang ng tupa.
I counted a while ago.	Nagbilang ako kanina.
I counted.	Ako ay nagbilang.
I covered the food.	Tinakpan ko ang pagkain.
I create music.	Gumagawa ako ng musika.
I cried all morning.	Umiyak ako ng buong umaga.
I cried all night.	Umiyak ako buong magdamag.
I cut my arm.	Nahiwa ko ang aking braso.
I cut my feet.	Nahiwa ko ang aking paa.
I cut my finger.	Nahiwa ko ang aking daliri.
I cut my leg.	Nahiwa ko ang aking binti.
I cut my nails.	Ginupit ko ang aking mga kuko.
I did badly.	Hindi mahusay ang nagawa ko.
I did better earlier.	Bumawi ako kanina.
I did it already.	Ginawa ko na.
I did it earlier.	Ginawa ko ito kanina.
I did it once.	Ginawa ko ito dati.
I did it quickly.	Mabilis ko iyong ginawa.
I did not copy.	Hindi ako kumopya.
I did not eat.	Hindi ako kumain.
I did not find it.	Hindi iyon nahanap.
I did not get it.	Hindi ko nakuha.
I did not go in.	Hindi ako pumasok.
I did not hit her.	Hindi ko siya hinampas.
I did not know.	Hindi ko nalaman.
I did not learn.	Hindi ako natuto.
I did not mean to.	Hindi ko sinasadya.
I did not play.	Hindi ako naglaro.
I did not study.	Hindi ako nag-aral.
I did not think of that.	Hindi ko naisip iyan.
I did not want you.	Hindi kita ginusto.
I did see him.	Nakita ko nga siya.
I did that ages ago.	Dati ko pa nagawa iyan.
I did that already.	Ginawa ko na iyan.
I did that once.	Ginawa ko iyan dati.
I didn't buy a car.	Hindi ako bumili ng kotse.
I didn't catch that.	Hindi ko naintindihan.
I didn't catch the bus.	Iniwan na ako ng bus.
I didn't drive.	Hindi ako nagmaneho.
I didn't get it.	Hindi ko nakuha.
I didn't kiss Tom.	Hindi ko hinalikan si Tomas.
I didn't like it.	Ayoko nyan.
I didn't mean it.	Di ko sinadya.
I didn't notice it.	Hindi ko ito napansin.
I didn't say anything.	Wala akong sinabi.
I didn't scream.	Hindi ako sumigaw.
I didn't see anything.	Wala akong nakita.
I didn't see her.	Di ko siya nakita.
I didn't vote for him.	Hindi ko sya binoto.
I didn't think so.	Hindi sa tingin ko.
I didn't.	Hindi ko ginawa.
I disagree.	Tumututol ako.
I discovered a lot.	Madami akong natuklasan.
I dislike it here.	Ayaw ko dito.
I dislike it there.	Ayaw ko doon.
I dislike it this way.	Ayaw ko ng ganito.
I dislike myself.	Ayaw ko sa akin.
I dislike that way.	Ayaw ko ng ganyan.
I dislike that way.	Ayaw ko ng ganoon.
I dislike this one.	Ayaw ko nito.
I dislike you.	Ayaw ko sa iyo.
I dislike.	Ayaw ko.
I disturb her.	Iniistorbo ko siya.
I divide food.	Ako ay naghahati ng pagkain.
I do it.	Ginagawa koi yon.
I do not care.	Wala akong pakialam.
I do not drink.	Hindi ako umiinom.
I do not eat.	Hindi ako kumakain.
I do not have a spouse.	Wala akong asawa.
I do not have pencils.	Wala akong lapis.
I do not have time.	Wala akong oras.
I do not know anything.	Wala akong alam.
I do not know how.	Hindi ako marunong.
I do not know you.	Hindi kita kilala.
I do not know.	Hindi ko alam.
I do not like insects.	Ayaw ko sa mga insekto.
I do not like this.	Hindi ko ito gusto.
I do not like you.	Hindi kita gusto.
I do not see a thing.	Wala akong makita.
I do not stand a chance.	Wala akong pag asa.
I do not think so.	Sa tingin ko ay hindi.
I do not think.	Tingin ko hindi.
I do not understand.	Hindi ko naiintindihan.
I do not want anymore.	Ayaw ko na po.
I do not want to dance.	Ayaw kong sumayaw.
I do not want to go.	Ayaw kong umalis.
I do not want to join.	Ayaw kong sumali.
I do not want to sing.	Ayaw kong kumanta.
I do not want to slow down.	Ayokong bumagal.
I do that sometimes.	Ginagawa ko iyan minsan.
I don't care.	Wala akong pake.
I don't care.	Wala akong pakialam.
I don't date.	Hindi ako nagdedate.
I don't eat meat.	Hindi ako kumakain ng karne.
I don't eat pork.	Hindi ako kumakain ng baboy.
I don't eat rice.	Hindi ako kumakain ng kanin.
I don't get it.	Di ko maintindihan.
I don't have a car.	Wala akong kotse.
I don't have any siblings.	Wala akong kapatid.
I don't have apple.	Wala akong mansanas.
I don't have banana.	Wala akong saging.
I don't have bread.	Wala akong tinapay.
I don't have butter.	Wala akong mantikilya.
I don't have cheese.	Wala akong keso.
I don't have cooked rice.	Wala akong kanin.
I don't have egg.	Wala akong itlog.
I don't have fish.	Wala akong isda.
I don't have food.	Wala akong pagkain.
I don't have fork.	Wala akong tinidor.
I don't have fruit.	Wala akong prutas.
I don't have ginger.	Wala akong luya.
I don't have ice cream.	Wala akong sorbetes.
I don't have knife.	Wala akong kutsilyo.
I don't have meat.	Wala akong karne.
I don't have money.	Wala akong pera.
I don't have salt.	Wala akong asin.
I don't have spoon.	Wala akong kutsara.
I don't have sugar.	Wala akong asukal.
I don't have time.	Wala akong oras.
I don't have vegetable.	Wala akong gulay.
I don't have water.	Wala akong tubig.
I don't know anybody.	Wala akong kilala.
I don't know them.	Hindi ko sila kilala.
I don't know when.	Hjndi ko alam kung kailan.
I don't know why.	Hindi ko alam kung bakit.
I don't know yet.	Hindi ko pa alam.
I don't know you.	Hindi kita kilala.
I Don't Know!	Hindi ko alam!
I don't know.	Hindi ko alam.
I don't like eggs.	Ayoko ng itlog.
I don't like fruits.	Ayoko ng prutas.
I don't like him.	Hindi ko siya gusto.
I don't like it.	Hindi ko gusto ito.
I don't like it.	Hindi ko gusto iyan.
I don't like recitation.	Ayaw ko sumagot.
I don't like to gamble.	Ayaw kong magsugal.
I don't like vegetables.	Ayoko ng gulay.
I don't like vegetables.	Ayaw ko ng gulay.
I don't like writing.	Ayaw kong nagsusulat.
I don't need that.	Hindi ko kailangan iyan.
I don't need this.	Hindi ko kailangan ito.
I don't think so.	Hindi kaya.
I don't think so.	Sa tingin ko, hindi.
I Don't Understand!	Hindi ko maintindihan!
I don't understand.	Hindi ko maintindihan.
I don't understand.	Hindi ko naintindihan.
I don't usually cry.	Hindi ako madalas umiyak.
I don't want any sugar.	Ayaw ko ng may asukal.
I don't want friends.	Ayaw ko ng kaibigan.
I don't want to be called.	Ayaw ko matawag.
I don't want to be troubled.	Ayaw kong magulo.
I don't want to die.	Ayaw kong mamatay.
I don't want to do it.	Ayaw ko gawin.
I don't want to go home.	Ayaw kong umuwi.
I don't want to leave yet.	Ayaw ko pang umalis.
I don't want to leave.	Ayokong umalis.
I don't want to lie down.	Ayokong humiga.
I don't want to rest.	Ayaw kong magpahinga.
I don't want to.	Ayaw ko.
I don't care.	Wala akong pakialam.
I don't know you.	Hindi kita kilala.
I don't want to eat there.	Ayaw ko kumain doon.
I drank coffee!	Uminom ako ng kape!
I drank coffee.	Uminom ako ng kape.
I drank milk!	Uminom ako ng gatas!
I drank milk.	Uminom ako ng gatas.
I drank water.	Uminom ako ng tubig.
I dreamt last night.	Nanaginip ako kagabi.
I dress formally.	Ako ay nagdadamit ng pormal.
I drink coffee.	Umiinom ako ng kape.
I drink milk.	Nainom ako ng gatas.
I drink some coffee.	Uminom ako ng kape.
I drink water.	Umiinom ako ng tubig.
I drive a car.	Nagmamaneho ako ng kotse.
I drive a truck.	Nagmamaneho ako ng trak.
I drove all night.	Nagmaneho ako buong gabi.
I drove so far.	Nagmaneho akong malayo.
I dump wastes.	Tinatapon ko ang mga kalat.
I earn money.	Kumikita ako ng pera.
I eat frequently.	Madalas akong kumain.
I enjoy being praised.	Natutuwa akong mapuri.
I enjoy reading.	Natutuwa ako magbasa.
I enjoy travelling.	Natutuwa ako maglakbay.
I envy you.	Naiingit ako sa iyo.
I erased the wrong thing.	Mali ang nabura ko.
I favor human.	Pabor ako sa mga to.
I feel a little cold.	Medyo malamig ako ngayon.
I feel bad.	Masama ang pakiramdam ko.
I feel better.	Bumubuti ang pakiramdam ko.
I feel cold.	Malamig ako.
I feel cold.	Nilalamig ako.
I feel dizzy.	Nahihilo ako.
I feel embarrassed now.	Nahihiya na ako ngayon.
I feel funny.	Kakaiba ang pakiramdam ko.
I feel good.	Maganda ang pakiramdam ko.
I feel good.	Ang ganda ng pakiramdam ko.
I feel great.	Mabuti ang pakiramdam ko.
I feel it too.	Nararamdaman ko rin.
I feel lazy to go.	Tinatamad akong pumasok.
I feel sleepy.	Inaantok ako.
I feel sleepy.	Inaantok na ako.
I feel so light.	Napakagaan ng pakiramdam ko.
I feel so tired.	Ako ay pagod na.
I feel something.	Mayroon akong nararamdaman.
I feel sorry.	Naaawa ako.
I feel tired.	Pagod na ako.
I feel warm.	Mainit-init ako.
I feel you right here.	Nararamdaman kita dito.
I fell asleep.	Nakatulog ako.
I fell down.	Bumagsak ako.
I fell on the stairs.	Nahulog ako sa hagdanan.
I fell.	Ako ay nahulog.
I felt it too.	Nadama ko rin ito.
I finally caught you.	Nahuli rin kita.
I finished it.	Natapos ko rin.
I fixed it already.	Inayos ko na.
I forgot something.	May nakalimutan po ako.
I forgot to bring it.	Hindi ko nadala eh.
I forgot.	Nakalimutan ko.
I found her.	Nahanap ko siya.
I found it.	Nakita ko na.
I fried fish.	Nagprito ako ng isda.
I gave him bread.	Binigyan ko siya ng tinapay.
I gave paper.	Nagbigay ako ng papel.
I get cold sometimes.	Nilalamig ako minsan.
I get up early.	Maaga sila.
I get up early.	Maaga akong bumabangon.
I give it to you.	Ibinibigay ko sa iyo ito.
I give money.	Namimigay ako ng pera.
I give up easily.	Madali akong sumuko.
I give up.	Suko na ako.
I go every year.	Pumupunta ako kada taon.
I go to bed early.	Natutulog ako nang maaga.
I go to college.	Ako ay pumapasok sa kolehiyo.
I go to school.	Pumapasok ako sa paaralan.
I go to school.	Ako ay pumapasok sa paaralan.
I googled it.	Ginoogle ko iyon eh.
I got an X-ray.	Kumuha ako ng X-ray.
I got carried away.	Nadala ako.
I got fired yesterday.	Sinisante ako kahapon.
I got heavier.	Bumigat ako.
I got hungry.	Nagutom ako.
I got lucky.	Sinuwerte ako.
I got nothing.	Wala akong nakuha.
I got paid yesterday.	Binayaran ako kahapon.
I got scared.	Natakot ako.
I got shorter.	Lumiit ako.
I got sick.	Nagkasakit ako.
I got tired because of that.	Napagod ako dun.
I got tired.	Ako ay napagod.
I got up a minute ago.	Kakabangon ko lang.
I got up an hour ago.	Kanina pa ako bumangon.
I got up early.	Bumangon ako ng maaga.
I got up early.	Bumangon ako nang maaga.
I grab some drinks.	Kumuha ako ng maiinom.
I grab some sandwich.	Kumuha ako ng tinapay.
I greeted her.	Binati ko siya.
I greeted him.	Binati ko siya.
I greeted the teacher.	Binati ko ang guro.
I greeted them.	Binati ko sila.
I grew taller.	Tumangkad ako.
I guarantee it.	Sinisiguro ko yan.
I guess.	Siguro.
I guess.	Tingin ko.
I had a cold.	Nagkaroon ako ng sipon.
I had a headache.	Sumakit ang ulo ko.
I had a late lunch.	Huli na akong nananghalian.
I had to learn.	Kinailangan kong matuto.
I had to walk home.	Napalakad akong pauwi.
I had toothache.	Sumakit ang ngipin ko.
I hate doing this.	Hindi ko gusto gawin ito.
I hate fruits.	Galit ako sa prutas.
I hate Mondays.	Ayaw ko ng mga Lunes.
I hate Sundays.	Kinamumunhian ko ang Linggo.
I hate vegetables.	Galit ako sa gulay.
I hated the ending.	Ayaw ko sa katapusan.
I have a balloon.	Ako ay may lobo.
I have a banana.	Ako ay may saging.
I have a book.	Mayroon akong lapis.
I have a brother.	May kapatid ako.
I have a car.	Ako ay may kotse.
I have a cat and a dog.	Meron akong pusa't aso.
I have a cat.	Ako ay may pusa.
I have a chair.	Ako ay may upuan.
I have a cold.	Sinisipon ko.
I have a cold.	Mayroon akong sipon.
I have a cough.	May ubo ako.
I have a dog.	Ako ay may aso.
I have a fever.	Nilalagnat ako.
I have a fish.	Ako ay may isda.
I have a girlfriend.	Mayroon akong nobya.
I have a gun.	Ako ay may baril.
I have a headache.	Masakit ulo ko.
I have a headache.	Masakit ang ulo ko.
I have a headache.	Masakit ang aking ulo.
I have a horse.	Ako ay may kabayo.
I have a house.	Ako ay may bahay.
I have a job.	Ako ay may trabaho.
I have a knife.	Ako ay may kutsilyo.
I have a large dog.	Mayroon akong malaking aso.
I have a lot here.	Marami ako dito.
I have a lot of coins.	Marami akong barya.
I have a lot on my mind.	Marami akong iniisip.
I have a name.	Mayroon akong pangalan.
I have a packed lunch.	May baon akong pagkain.
I have a pencil.	Ako ay may lapis.
I have a pencil.	Mayroon akong lapis.
I have a pet dog.	Mayroon akong alagang aso.
I have a problem.	May problema ako.
I have a problem.	Mayroon akong problema.
I have a question.	May tanong ako.
I have a question.	Mayroon akong tanong.
I have a shoe.	Ako ay may sapatos.
I have a slipper.	Ako ay may tsinelas.
I have a soap.	Mayroon akong sabon.
I have a son.	Mayroon akong anak na lalaki.
I have a table.	Ako ay may lamesa.
I have a telephone.	Ako ay may telepono.
I have a watermelon.	Ako ay may pakwan.
I have a wolf.	Ako ay may lobo.
I have allowance.	May baon akong pera.
I have an apple.	Ako ay may mansanas.
I have an apple.	Mayroon akong mansanas.
I have an emergency.	Mayroon akong emergency.
I have an eraser.	Ako ay may pambura.
I have an idea.	Mayroon akong ideya.
I have an objection.	Mayroon akong tutol.
I have anxiety.	Mayroon akong pagkabalisa.
I have apple.	Wala akong mansanas.
I have banana.	Wala akong saging.
I have been a victim.	Ako ay nagging biktima.
I have been going crazy.	Nababaliw na ako.
I have been sleeping.	Natutulog ako.
I have bought the car.	Dinala ko ang kotse.
I have bread.	Wala akong tinapay.
I have bread.	Mayroon akong tinapay.
I have butter.	Wala akong mantikilya.
I have changed.	Nagbago na ako.
I have cheese.	Wala akong keso.
I have class tomorrow.	May klase ako bukas.
I have colds.	May sipon ako.
I have cooked rice.	Wala akong kanin.
I have egg.	Wala akong itlog.
I have failed you.	Nabigo kita.
I have fish.	Wala akong isda.
I have food.	Wala akong pagkain.
I have fork.	Wala akong tinidor.
I have fruit.	Wala akong prutas.
I have ginger.	Wala akong luya.
I have homework.	Mayroon akong takdang-aralin.
I have ice cream.	Wala akong sorbetes.
I have just eaten.	Kakakain ko lang.
I have just reminded.	Kaka-paalala ko lang.
I have knife.	Wala akong kutsilyo.
I have many shoes.	Marami akong sapatos.
I have meat.	Wala akong karne.
I have money.	May pera ako.
I have money.	Mayroon akong pera.
I have no future.	Wala akong kinabukasan.
I Have No Idea.	Wala akong ideya.
I have no idea.	Wala akong maisip.
I have no more medicine.	Ubos na ang gamot ko.
I have no problems.	Wala akong problema.
I have no regrets.	Wala akong pinagsisisihan.
I have no socks.	Wala akong medyas.
I have not been there yet.	Wala pa ako doon.
I have not failed.	Hindi ako nabigo.
I have not seen him.	Hindi ko siya nakita.
I have one foot.	Ako ay may isang paa.
I have one hand.	Ako ay may isang kamay.
I have one.	Meron ako.
I have pencils.	Mayroon akong mga lapis.
I have plenty of money.	Marami akong pera.
I have salt.	Wala akong asin.
I have seen her before.	Nakita ko na siya nuon.
I have seen them.	Nakita ko sila.
I have six stones.	Meron akong anim na bato.
I have something to say.	May sasabihin ako.
I have spoon.	Wala akong kutsara.
I have sugar.	Wala akong asukal.
I have ten fingers.	Ako ay may sampung daliri.
I have this feeling.	Mayroon akong pakiramdam.
I have to cook rice.	Kailangn kong magsaing.
I have to go.	Kailangan ko ng umalis.
I have to go.	Kailangan ko nang umalis.
I have to help.	Kailangan kong tumulong.
I have to leave.	Kailangan kong umalis.
I have to think.	Kailangan ko mag-isip.
I have to work tomorrow.	May trabaho ako bukas.
I have toothache.	Masakit ang ngipin ko.
I have two eggs.	Mayroon akong dalawang itlog.
I have two feet.	Ako ay may dalawang paa.
I have two hands.	Ako ay may dalawang kamay.
I have vegetable.	Wala akong gulay.
I have water.	Wala akong tubig.
I have wound in my foot.	May sugat ako sa paa.
I haven't been there.	Hindi pa ako naroroon.
I haven't had time yet.	Wala pa akong oras.
I haven't slept.	Hindi pa ako nakakatulog.
I haven't time just now.	Wala pa akong oras.
I haven't tried.	Hindi ko pa nasubukan.
I hear something.	May naririnig ako.
I heard (could you).	Narinig ko (maaari mo).
I heard that before.	Narinig ko na yan dati.
I helped Tom once.	Tinulungan ko si Tom dati.
I hit a wall.	Tumama ako sa pader.
I hit on an idea.	Meron akong naisip.
I hope I can.	Sana kayanin ko.
I hope I will.	Sana gawin ko.
I hope I win.	Sana manalo ako.
I hope I'm not late.	Sana ay hindi pa ako huli.
I hope so.	Sana nga.
I hope so.	Umaasa ako.
I hope this works.	Sana gumana ito.
I hope you fall asleep.	Sana makatulog ka.
I hope you win.	Sana manalo ka.
I hope you're happy.	Sana masaya ka.
I hugged him.	Niyakap ko siya.
I humbly request you.	Nakikiusap ako sa'yo.
I hurried home.	Binilisan ko umuwi.
I invited you.	Inimbitahan kita.
I join frequently.	Madalas akong sumali.
I join frequently.	Madalas akong sumama.
I joined a class.	Sumali ako sa isang klase.
I joined her.	Sinamahan ko siya.
I joined him.	Sinamahan ko siya.
I joined the tour.	Sumali ako sa paglilibot.
I joined them.	Sinamahan ko sila.
I joined you.	Sinamahan kita.
I joined you.	Ikaw ay sinamahan ko.
I just arrived here.	Kakarating ko lang dito.
I just arrived here.	Kararating ko lang dito.
I just arrived.	Kakarating ko lang.
I just arrived.	Kararating ko lang.
I just ate.	Kakain ko lang.
I just finished.	Kakatapos ko lang.
I just got here.	Kakarating ko lang dito.
I just got here.	Kararating ko lang dito.
I just want to sleep.	Gusto ko lang matulog.
I just woke up.	Kakagising ko lang.
I kept my promise.	Tinupad ko ang pangako ko.
I kept trying.	Ako ay nanatiling sumusubok.
I kicked him.	Sinipa ko siya.
I kicked him/her.	Sinipa ko siya.
I killed a duck once.	Pumatay ako ng bibe dati.
I killed a mosquito.	Nakapatay ako ng lamok.
I killed Ramu.	Pinatay ko si Ramu.
I kissed her.	Hinalikan ko siya.
I kissed him.	Hinalikan ko siya.
I knew everybody.	Kilala ko ang lahat.
I know a little.	May alam akong kaunti.
I know him very well.	Kilala ko siyang mabuti.
I know how to play.	Marunong ako maglaro.
I know I'm early.	Alam kong maaga ako.
I know it's a bit sudden.	Biglang bigla nga.
I know it's my fault.	Alam kong kasalanan ko.
I know nothing yet.	Wala pa akong alam.
I know nothing.	Wala akong alam.
I know now.	Alam ko na.
I know now.	Alam ko na ngayon.
I know that she is cute.	Alam kong kyut siya.
I know that you know.	Alam kong alam mo.
I know this place.	Alam ko ang lugar na ito.
I know this.	Alam ko ito.
I know you are clever.	Alam kong matalino ka.
I know you are going away.	Alam kong aalis ka.
I know you know.	Alam kong alam mo.
I know you see it.	Alam kong nakikita mo.
I know.	Alam ko.
I lack sleep.	Kulang ako sa tulog.
I laughed.	Tumawa ako.
I lay down already.	Nakahiga na ako.
I learn how to write.	Natututo akong magsulat.
I learned a lot.	Madami akong natutunan.
I learned much.	Marami akong natutunan.
I learned nothing.	Wala akong natutunan.
I leave on Friday.	Biyernes ako aalis.
I leave on Monday.	Lunes ako aalis.
I leave on Saturday.	Sabado ako aalis.
I leave on Sunday.	Linggo ako aalis.
I leave on Thursday.	Huwebes ako aalis.
I leave on Tuesday.	Martes ako aalis.
I leave on Wednesday.	Miyerkules ako aalis.
I left home early.	Maaga ako umalis ng bahay.
I left it there.	Iniwan koi to diyan.
I left my stuff.	Naiwan ko gamit ko.
I left the class.	Umalis ako sa klase.
I left this morning.	Umalis ako ngayong umaga.
I lend my book.	Nagpapahiram ako ng libro.
I lend my book.	Nagpapahiram ako ng aklat.
I lent my book.	Nagpahiram ako ng libro.
I lent my book.	Nagpahiram ako ng aklat.
I let it burn.	Hinayaan kong masunog.
I lie awake.	Nakahiga akong gising.
I like a black car.	Gusto ko ng itim sasakyan.
I like a blue car.	Gusto ko ng asul sasakyan.
I like a red car.	Gusto ko ng pulang sasakyan.
I like adobo.	Gusto ko ng adobo.
I like all of them.	Gusto ko lahat sila.
I like apples.	Gusto ko ng mansanas.
I like big tits.	Gusto ko ang malalaking dede.
I like bread.	Mahilig ako sa tinapay.
I like butterflies.	Mahilig ako sa paru-paro.
I like castles.	Gusto ko ang mga kastilyo.
I like climbing.	Mahilig ako umakyat.
I like cooking.	Mahilig ako magluto.
I like dogs.	Gusto ko ng mga aso.
I like drawing.	Mahilig ako gumuhit.
I like explosions.	Mahilig ako sa mga pasabog.
I like fishing.	Mahilig akong mangisda.
I like food.	Gusto ko ang pagkain.
I like her.	Gusto ko sya.
I like it, too.	Gusto ko rin iyon.
I like life.	Gusto ko ang buhay.
I like music.	Gusto ko ang musika.
I like music.	Mahilig ako sa musika.
I like my school.	Gusto ko ang aking paaralan.
I like plans.	Gusto ko ng mga plano.
I like playing tennis.	Gusto kong magtenis.
I like playing.	Mahilig ako sa paglalaro.
I like reading.	Mahilig ako sa pagbabasa.
I like shopping.	Mahilig ako mamili.
I like Tagalog.	Gusto ko ang Tagalog.
I like that dog.	Gusto ko yung asong yun.
I like that.	Gusto ko iyan.
I like the dog.	Gusto ko yung aso.
I like the food.	Gusto ko ang pagkain.
I like the ocean.	Gusto ko ang karagatan.
I like this dog.	Gusto ko itong asong ito.
I like to be early.	Gusto kong maging maaga.
I like to play.	Mahilig ako maglaro.
I like to play.	Mahilig ako tumugtog.
I like to read.	Mahilig ako bumasa.
I like to read.	Mahilig ako magbasa.
I like to sleep.	Mahilig akong matulog.
I like to smile.	Mahilig akong ngumiti.
I like to study.	Mahilig ako mag-aral.
I like to travel.	Mahilig ako maglakbay.
I like to travel.	Mahilig akong bumiyahe.
I like to write.	Mahilig ako sumulat.
I like to write.	Mahilig ako magsulat.
I like Tom already.	Gusto ko na si Tom.
I like traveling.	Mahilig ako sa paglalakbay.
I like turtles.	Gusto ko ang mga pagong.
I like writing.	Mahilig akong magsulat.
I like writing.	Mahilig ako sa pagsusulat.
I like you.	Gusto kita.
I like you.	May gusto ako sa iyo.
I like your dog.	Gusto ko yung aso mo.
I like your dogs.	Gusto ko yung mga aso mo.
I like your dress.	Gusto ko ang damit mo.
I like your mirror.	Gusto ko ang salamin mo.
I listen frequently.	Madalas akong makinig.
I listen to music.	Nakikinig ako sa musika.
I live a simple life.	Simple ang buhay ko.
I live here.	Dito ako nakatira.
I live here.	Taga rito ako.
I live here.	Nakatira ako dito.
I live in Albania.	Nakatira ako sa Albanya.
I live in Algeria.	Nakatira ako sa Arhelya.
I live in Andorra.	Nakatira ako sa Andorra.
I live in Angola.	Nakatira ako sa Anggola.
I live in Argentina.	Nakatira ako sa Arhentina.
I live in Armenia.	Nakatira ako sa Armenya.
I live in Australia.	Nakatira ako sa Australya.
I live in Austria.	Nakatira ako sa Austria.
I live in Bahamas.	Nakatira ako sa Bahamas.
I live in Bahrain.	Nakatira ako sa Barein.
I live in Barbados.	Nakatira ako sa Barbados.
I live in Belarus.	Nakatira ako sa Biyelorusya.
I live in Belgium.	Nakatira ako sa Belhika.
I live in Belize.	Nakatira ako sa Belise.
I live in Benin.	Nakatira ako sa Benin.
I live in Bhutan.	Nakatira ako sa Butan.
I live in Bolivia.	Nakatira ako sa Bolivia.
I live in Boston.	Nakatira ako sa Boston.
I live in Botswana.	Nakatira ako sa Botswana.
I live in Brazil.	Nakatira ako sa Brasil.
I live in Brunei.	Nakatira ako sa Brunay.
I live in Bulgaria.	Nakatira ako sa Bulgarya.
I live in Burundi.	Nakatira ako sa Burundi.
I live in Cambodia.	Nakatira ako sa Kambodya.
I live in Cameroon.	Nakatira ako sa Kamerun.
I live in Canada.	Nakatira ako sa Canada.
I live in Chad.	Nakatira ako sa Tsad.
I live in Chile.	Nakatira ako sa Chile.
I live in China.	Nakatira ako sa Tsina.
I live in Colombia.	Nakatira ako sa Colombia.
I live in Comoros.	Nakatira ako sa Komoros.
I live in Croatia.	Nakatira ako sa Kroasya.
I live in Cuba.	Nakatira ako sa Kuba.
I live in Cuprus.	Nakatira ako sa Tsipre.
I live in darkness.	Nakatira ako sa kadiliman.
I live in Denmark.	Nakatira ako sa Dinamarka.
I live in Dominica.	Nakatira ako sa Dominika.
I live in Ecuador.	Nakatira ako sa Ekwador.
I live in Egypt.	Nakatira ako sa Ehipto.
I live in Eritrea.	Mas masaya saEritrea.
I live in Estonia.	Nakatira ako sa Estonia.
I live in Ethiopia.	Nakatira ako sa Etiyopiya.
I live in Fiji.	Nakatira ako sa Piyi.
I live in Finland.	Nakatira ako sa Finland.
I live in France.	Nakatira ako sa Pransiya.
I live in Gabon.	Nakatira ako sa Gabon.
I live in Gambia.	Nakatira ako sa Gambiya.
I live in Georgia.	Nakatira ako sa Heorhiya.
I live in Germany.	Nakatira ako sa Alemanya.
I live in Ghana.	Nakatira ako sa Ghana.
I live in Greece.	Nakatira ako sa Gresya.
I live in Grenada.	Nakatira ako sa Grenada.
I live in Guinea.	Nakatira ako sa Ginea.
I live in Guyana.	Nakatira ako sa Guyana.
I live in Haiti.	Nakatira ako sa Hayti.
I live in Honduras.	Nakatira ako sa Honduras.
I live in Hungary.	Nakatira ako sa Unggarya.
I live in Iceland.	Nakatira ako sa Lupanggyelo.
I live in India.	Nakatira ako sa Indiya.
I live in Indonesia.	Nakatira ako sa Indonesya.
I live in Iran.	Nakatira ako sa Iran.
I live in Iraq.	Nakatira ako sa Irak.
I live in Ireland.	Nakatira ako sa Irlanda.
I live in Israel.	Nakatira ako sa Israel.
I live in Italy.	Nakatira ako sa Italya.
I live in Jamaica.	Nakatira ako sa Hamayka.
I live in Japan.	Nakatira ako sa Hapon.
I live in Jordan.	Nakatira ako sa Hordan.
I live in Kenya.	Nakatira ako sa Kenya.
I live in Kiribati.	Nakatira ako sa Kiribati.
I live in Kuwait.	Nakatira ako sa Kuwait.
I live in Laos.	Nakatira ako sa Laos.
I live in Latvia.	Nakatira ako sa Latbiya.
I live in Lebanon.	Nakatira ako sa Libano.
I live in Lesotho.	Nakatira ako sa Lesoto.
I live in Liberia.	Nakatira ako sa Libya.
I live in Libya.	Nakatira ako sa Liechtenstein.
I live in Malawi.	Nakatira ako sa Malawi.
I live in Malaysia.	Nakatira ako sa Malasya.
I live in Maldives.	Nakatira ako sa Maldives.
I live in Mali.	Nakatira ako sa Mali.
I live in Malta.	Nakatira ako sa Malta.
I live in Mauritius.	Nakatira ako sa Maurisya.
I live in Mexico.	Nakatira ako sa Mehiko.
I live in Moldova.	Nakatira ako sa Moldavia.
