Good morning, he said.	Magandang umaga, sinabi niya.
Do you still have clam?	Meron pa kayong halaan?
Do you still have climbing perch?	Meron pa kayong liwalo?
Do you still have climbing perch?	Meron pa kayong martiniko?
Do you still have cobia?	Meron pa kayong dalag-dagat?
Do you still have coconut husk?	Meron pa kayong bunot?
Do you still have coconut pith?	Meron pa kayong ubod?
Do you still have coconut?	Meron pa kayong buko?
Do you still have cooking banana?	Meron pa kayong saba?
Do you still have cooking oil?	Meron pa kayong mantika?
Do you still have coriander?	Meron pa kayong wansoy?
Do you still have cornstarch?	Meron pa kayong gawgaw?
Do you still have cottonfruit?	Meron pa kayong santol?
Do you still have crab fat?	Meron pa kayong aligue?
Do you still have crab fat?	Meron pa kayong taba ng talangka?
Do you still have crab?	Meron pa kayong alimasag?
Do you still have crimson snapper?	Meron pa kayong lohoran?
Do you still have croaker?	Meron pa kayong alakaak?
Do you still have cucumber?	Meron pa kayong pipino?
Do you still have cuttlefish?	Meron pa kayong hibya?
Do you still have cuttlefish?	Meron pa kayong canoos?
Do you still have dipper?	Meron pa kayong tabo?
Do you still have dolphinfish?	Meron pa kayong dorado?
Do you still have dried fish?	Meron pa kayong tuyo?
Do you still have durian?	Meron pa kayong durian?
Do you still have eggplant?	Meron pa kayong talong?
Do you still have emperor fish?	Meron pa kayong bitilya?
Do you still have endeavor prawn?	Meron pa kayong swahe?
Do you still have endeavor prawn?	Meron pa kayong suahe?
Do you still have endive?	Meron pa kayong endiba?
Do you still have fish ball?	Meron pa kayong fishball?
Do you still have fish sauce?	Meron pa kayong patis?
Do you still have flounder?	Meron pa kayong dapa?
Do you still have flour?	Meron pa kayong arina?
Do you still have flying fish?	Meron pa kayong bolador?
Do you still have fusilier?	Meron pa kayong dalagang bukid?
Do you still have garfish?	Meron pa kayong kansusuit?
Do you still have garlic chive?	Meron pa kayong kuchay?
Do you still have garlic chive?	Meron pa kayong kutsay?
Do you still have garlic?	Meron pa kayong bawang?
Do you still have ginger?	Meron pa kayong luya?
Do you still have gizzard shad?	Meron pa kayong kabasi?
Do you still have goatfish?	Meron pa kayong bisugo?
Do you still have goby fish?	Meron pa kayong biya?
Do you still have grapes?	Meron pa kayong ubas?
Do you still have green bean?	Meron pa kayong bitsuwelas?
Do you still have green bean?	Meron pa kayong abitsuwelas?
Do you still have ground meat?	Meron pa kayong giniling?
Do you still have grouper?	Meron pa kayong lapulapu?
Do you still have grouper?	Meron pa kayong lapu-lapu?
Do you still have grouper?	Meron pa kayong lapu lapu?
Do you still have grouper?	Meron pa kayong lapu-lapu?
Do you still have grunt fish?	Meron pa kayong agoot?
Do you still have guava?	Meron pa kayong bayabas?
Do you still have hawaiian ladyfish?	Meron pa kayong bidbid?
Do you still have herring scad?	Meron pa kayong salaysalay?
Do you still have herring scad?	Meron pa kayong salay-salay?
Do you still have hot dog?	Meron pa kayong hotdog?
Do you still have hot sauce?	Meron pa kayong hot sauce?
Do you still have hyacinth bean?	Meron pa kayong bataw?
Do you still have jackfruit?	Meron pa kayong langka?
Do you still have jamaica cherry?	Meron pa kayong aratiles?
Do you still have jasmine rice?	Meron pa kayong milagrosa?
Do you still have jute?	Meron pa kayong saluyot?
Do you still have ketchup?	Meron pa kayong ketchup?
Do you still have lady's finger?	Meron pa kayong okra?
Do you still have lanzones?	Meron pa kayong lansones?
Do you still have lechon sauce?	Meron pa kayong sarsa?
Do you still have lemongrass?	Meron pa kayong tanglad?
Do you still have lettuce?	Meron pa kayong letsugas?
Do you still have lettuce?	Meron pa kayong litsugas?
Do you still have lima bean?	Meron pa kayong patani?
Do you still have lima beans?	Meron pa kayong patani?
Do you still have liver spread?	Meron pa kayong liber spred?
Do you still have lizardfish?	Meron pa kayong kalaso?
Do you still have lobed river mullet?	Meron pa kayong ludong?
Do you still have lychee?	Meron pa kayong rambutan?
Do you still have mackerel?	Meron pa kayong alumahan?
Do you still have mackerel scad?	Meron pa kayong galunggong?
Do you still have mackerel tuna?	Meron pa kayong tulingan?
Do you still have malabar spinach?	Meron pa kayong alugbati?
Do you still have maned goby fish?	Meron pa kayong talimusak?
Do you still have mango?	Meron pa kayong mangga?
Do you still have mangrove king crab?	Meron pa kayong bulik?
Do you still have mangrove king crab?	Meron pa kayong putian?
Do you still have mangrove red snapper?	Meron pa kayong isu?
Do you still have milkfish?	Meron pa kayong bangus?
Do you still have moonfish?	Meron pa kayong hiwas?
Do you still have moonfish?	Meron pa kayong chabeta?
Do you still have moringa?	Meron pa kayong malunggay?
Do you still have mud crab?	Meron pa kayong alimango?
Do you still have mudfish?	Meron pa kayong dalag?
Do you still have mullet fish?	Meron pa kayong banak?
Do you still have mullet fish?	Meron pa kayong asubi?
Do you still have mullet fish?	Meron pa kayong talilong?
Do you still have mung bean sprouts?	Meron pa kayong toge?
Do you still have mung bean sprouts?	Meron pa kayong togi?
Do you still have mung bean sprouts?	Meron pa kayong togue?
Do you still have mushroom?	Meron pa kayong kabute?
Do you still have mussel?	Meron pa kayong tahong?
Do you still have mustard?	Meron pa kayong mustasa?
Do you still have needle fish?	Meron pa kayong balo?
Do you still have octopus?	Meron pa kayong pugita?
Do you still have onions?	Meron pa kayong sibuyas?
Do you still have orange mud crab?	Meron pa kayong pulahan?
Do you still have oxeye scad?	Meron pa kayong matangbaka?
Do you still have oyster?	Meron pa kayong talaba?
Do you still have papaya?	Meron pa kayong papaya?
Do you still have parrotfish?	Meron pa kayong loro?
Do you still have peanut butter?	Meron pa kayong pinat buter?
Do you still have peanuts?	Meron pa kayong mani?
Do you still have pepper?	Meron pa kayong paminta?
Do you still have Philippine bacon?	Meron pa kayong tocino?
Do you still have Philippine lemon?	Meron pa kayong dalandan?
Do you still have Philippine lime?	Meron pa kayong calamansi?
Do you still have Philippine lime?	Meron pa kayong kalamansi?
Do you still have pickled mango?	Meron pa kayong buro?
Do you still have pickled papaya?	Meron pa kayong atsara?
Do you still have pigweed?	Meron pa kayong uray?
Do you still have pineapple?	Meron pa kayong pinya?
Do you still have pomelo?	Meron pa kayong suha?
Do you still have pomfret?	Meron pa kayong pampano?
Do you still have ponyfish?	Meron pa kayong sapsap?
Do you still have pork belly?	Meron pa kayong liempo?
Do you still have pork hock?	Meron pa kayong pata?
Do you still have pork loin?	Meron pa kayong lomo?
Do you still have pork shoulder?	Meron pa kayong kasim?
Do you still have prawn?	Meron pa kayong sugpo?
Do you still have propane tank?	Meron pa kayong gasul?
Do you still have pumpkin?	Meron pa kayong kalabasa?
Do you still have purple yam?	Meron pa kayong ube?
Do you still have rabbitfish?	Meron pa kayong danggit?
Do you still have radish?	Meron pa kayong labanos?
Do you still have red bigeye fish?	Meron pa kayong dilat?
Do you still have ribbed gourd?	Meron pa kayong patola?
Do you still have round cabbage?	Meron pa kayong repolyo?
Do you still have round scad?	Meron pa kayong galunggong?
Do you still have safflower?	Meron pa kayong kasubha?
Do you still have salad?	Meron pa kayong ensalada?
Do you still have salt bread?	Meron pa kayong pandesal?
Do you still have sardine?	Meron pa kayong tamban?
Do you still have screw pine?	Meron pa kayong pandan?
Do you still have sea bass?	Meron pa kayong apahap?
Do you still have sea cucumber?	Meron pa kayong balatan?
Do you still have sea grape seaweed?	Meron pa kayong lato?
Do you still have sea grape seaweed?	Meron pa kayong arosep?
Do you still have sea urchin?	Meron pa kayong tuyom?
Do you still have seabream?	Meron pa kayong bakoko?
Do you still have seaperch?	Meron pa kayong apahap?
Do you still have seaweed?	Meron pa kayong isda?
Do you still have sesame?	Meron pa kayong linga?
Do you still have shore crab?	Meron pa kayong talangka?
Do you still have short mackerel?	Meron pa kayong kabayas?
Do you still have short mackerel?	Meron pa kayong kabalyas?
Do you still have short mackerel?	Meron pa kayong hasa-hasa?
Do you still have shrimp scad?	Meron pa kayong salingga?
Do you still have shrimp?	Meron pa kayong hipon?
Do you still have silk bananas?	Meron pa kayong latundan?
Do you still have silver fish?	Meron pa kayong dulong?
Do you still have silver fish?	Meron pa kayong ayungin?
Do you still have silver-biddy?	Meron pa kayong malakapas?
Do you still have skipjack tuna?	Meron pa kayong gulyasan?
Do you still have smoked fish?	Meron pa kayong tinapa?
Do you still have snail?	Meron pa kayong kuhol?
Do you still have snapper?	Meron pa kayong pargo?
Do you still have snapper?	Meron pa kayong mayamaya?
Do you still have snapper?	Meron pa kayong maya-maya?
Do you still have snapper?	Meron pa kayong bambangin?
Do you still have snapper?	Meron pa kayong maya-maya?
Do you still have snapper?	Meron pa kayong maya maya?
Do you still have snow pea?	Meron pa kayong sitsaro?
Do you still have soursop?	Meron pa kayong guyabano?
Do you still have soy bean?	Meron pa kayong balatong?
Do you still have soy sauce?	Meron pa kayong toyo?
Do you still have spanish mackerel?	Meron pa kayong tanigue?
Do you still have spanish mackerel?	Meron pa kayong tangigue?
Do you still have spanner crab?	Meron pa kayong curacha?
Do you still have spiced vinegar?	Meron pa kayong sinamak?
Do you still have spinach?	Meron pa kayong alugbati?
Do you still have spinefoot fish?	Meron pa kayong malaga?
Do you still have spiny lobster?	Meron pa kayong banagan?
Do you still have sponge gourd?	Meron pa kayong patola?
Do you still have spotted scat?	Meron pa kayong kitang?
Do you still have squash?	Meron pa kayong kalabasa?
Do you still have squid?	Meron pa kayong pusit?
Do you still have star anise?	Meron pa kayong sangke?
Do you still have starapple?	Meron pa kayong kaimito?
Do you still have starapple?	Meron pa kayong caimito?
Do you still have starfruit?	Meron pa kayong balimbing?
Do you still have string beans?	Meron pa kayong sitaw?
Do you still have sugar apple?	Meron pa kayong atis?
Do you still have sugar?	Meron pa kayong asukal?
Do you still have sugarcane?	Meron pa kayong tubong asukal?
Do you still have surgeonfish?	Meron pa kayong labahita?
Do you still have sweet potato?	Meron pa kayong kamote?
Do you still have tamarind?	Meron pa kayong sampalok?
Do you still have tenderloin?	Meron pa kayong tenderloin?
Do you still have terapon fish?	Meron pa kayong babansi?
Do you still have terapon fish?	Meron pa kayong bagaong?
Do you still have the potato?	Meron pa kayong patatas?
Do you still have the tomato?	Meron pa kayong kamatis?
Do you still have the watermelon?	Meron pa kayong pakwan?
Do you still have tilapia?	Meron pa kayong plapla?
Do you still have tilapia?	Meron pa kayong tilapia?
Do you still have tilapia?	Meron pa kayong pla pla?
Do you still have tomato?	Meron pa kayong kamatis?
Do you still have toothpony fish?	Meron pa kayong taksay?
Do you still have tree cucumber?	Meron pa kayong kamias?
Do you still have trevally fish?	Meron pa kayong maliputo?
Do you still have trevally fish?	Meron pa kayong talakitok?
Do you still have turmeric?	Meron pa kayong luyang dilaw?
Do you still have turnip?	Meron pa kayong singkamas?
Do you still have vinegar?	Meron pa kayong suka?
Do you still have water chestnut?	Meron pa kayong apulid?
Do you still have water spinach?	Meron pa kayong kangkong?
Do you still have watercress?	Meron pa kayong kangkong?
Do you still have watermelon?	Meron pa kayong pakwan?
Do you still have wax gourd?	Meron pa kayong kundol?
Do you still have white cheese?	Meron pa kayong kesong puti?
Do you still have whiting fish?	Meron pa kayong asohos?
Do you still have winged beans?	Meron pa kayong sigarilyas?
Do you still have winter melon?	Meron pa kayong kundol?
Do you still have wrasse?	Meron pa kayong maming?
Do you still have yellowfin tuna?	Meron pa kayong tambakol?
Do you still have yellowtail scad?	Meron pa kayong kalapato?
Do you study English?	Nag-aaral ka ba ng Ingles?
Do you take a bath every day?	Naliligo ka ba araw-araw?
Do you teach children?	Nagtuturo ka ba sa mga bata?
Do you think I can make it?	Sa tingin mo ba maabutan ko ito?
Do you think I'm fat?	Sa tingin mo ba mataba ako?
Do you think what I'm thinking?	Naisip mo ba ang naiisip ko?
Do you turn 40 in April?	Magiging 40 ka ba ngayong Abril?
Do you two batteries?	Mayroon ka bang dalawang baterya?
Do you understand my point?	Naiintindihan mo ba ang punto ko?
Do you use gloves?	Gumagamit ka ba ng guwantes?
Do you want a new bicycle?	Gusto mob a ng bagong bisekleta?
Do you want any gift?	May gusto ka bang pasalubong?
Do you want anything to eat?	Gusto ninyong kumain ng anuman?
Do you want me to carry you?	Gusto mo bang kargahin kita?
Do you want me to do it?	Gusto mo bang ako na ang gumawa?
Do you want my orange?	Gusto mo ba ng orange ko?
Do you want the truth?	Gusto mo ba ang katotohanan?
Do you want to be imprisoned?	Gusto mo bang makulong?
Do you want to be left behind?	Gusto mo ba maiwanan?
Do you want to buy a bag?	Gusto mo bumili ng bag?
Do you want to buy a comb?	Gusto mo bumili ng suklay?
Do you want to buy a fan?	Gusto mo bumili ng pamaypay?
Do you want to buy a shirt?	Gusto mo bumili ng damit?
Do you want to buy a watch?	Gusto mo bumili ng relo?
Do you want to buy books?	Gusto mo bumili ng libro?
Do you want to buy coffee?	Gusto mo bumili ng kape?
Do you want to buy cologne?	Gusto mo bumili ng pabango?
Do you want to buy erasers?	Gusto mo bumili ng pambura?
Do you want to buy flowers?	Gusto mo bumili ng bulaklak?
Do you want to buy food?	Gusto mo bumili ng pagkain?
Do you want to buy gasoline?	Gusto mo bumili ng gasolina?
Do you want to buy ice cream?	Gusto mo bumili ng sorbetes?
Do you want to buy pants?	Gusto mo bumili ng pantalon?
Do you want to buy pencils?	Gusto mo bumili ng lapis?
Do you want to buy shoes?	Gusto mo bumili ng sapatos?
Do you want to buy souvenirs?	Gusto mo bumili ng pasalubong?
Do you want to buy sugar?	Gusto mo bumili ng asukal?
Do you want to buy water?	Gusto mo bumili ng tubig?
Do you want to come with me?	Gusto mo bang sumama sa akin?
Do you want to do something?	May gusto ka bang gawin?
Do you want to drink some tea?	Gusto mo bang uminom ng tsaa?
Do you want to eat dinner?	Gusto mo bang kumain ng hapunan?
Do you want to get rich?	Gusto mo bang maging mayaman?
Do you want to go here?	Gusto mo bang pumunta dito?
Do you want to go home together?	Gusto mo bang sabay umuwi?
Do you want to go to a store?	Gusto mo ba pumunta sa tindahan?
Do you want to go with me?	Gusto mo bang sumama sa akin?
Do you want to go with us?	Gusto mong sumama sa amin?
Do you want to join us?	Gusto mo bang sumali sa amin?
Do you want to know why?	Gusto mo bang malaman kung bakit?
Do you want to ride a bus?	Gusto mo bang sumakay ng bus?
Do you want to ride a car?	Gusto mo bang sumakay ng kotse?
Do you want to ride a horse?	Gusto mo bang sumakay ng kabayo?
Do you want to ride a jeep?	Gusto mo bang sumakay ng dyip?
Do you want to ride a taxi?	Gusto mo bang sumakay ng taksi?
Do you want to ride a train?	Gusto mo bang sumakay ng tren?
Do you want to say something?	May gusto ka bang sabihin?
Do you want to take a look?	Gusto mo bang tignan?
Do you what day it is?	Alam mo ba kung anong araw na?
Do you work on Sundays?	Nagtatrabaho ka ba tuwing Linggo?
Do your assignment.	Gawin ninyo ang inyong takdang-aralin.
Do your homework right now.	Gawin mo na ang takdang-aralin mo.
Do your work properly.	Ayusin mo ang trabaho mo.
Does anybody have any pencil?	Mayroon ba sa inyo may lapis?
Does he give clues?	Nagbibigay ba siya ng palatandaan?
Does he give headaches?	Nagbibigay ba siya ng sakit ng ulo?
Does he have a girlfriend?	Meron ba siyang kasintahan?
Does it taste good?	Masarap?
Does John have a dog?	Mayroon ba si John ng aso?
Does Ramu jog on Sundays?	Tumatakbo ba si Ramu tuwing linggo?
Does she live in London?	Nakatira ba siya sa London?
Does someone send you something?	May ipinapadala ba sa iyo?
Does that resolves the problem?	Lutas na ba ang problema nun?
Does the law allow it?	Pinapayagan ba ito ng batas?
Does this even match you?	Mayroong tugma ba ito sa iyo?
Does this make you feel sad?	Ginagawa kaba nitong malungkot?
Does Tuesday work for you?	Pwede ba ang Martes sayo?
Does your friend like tea?	Gusto ba ng tsa ang kaibigan mo?
Dog athletes are common.	Maraming atletang aso.
Dogs and cats are friends.	Magkaibigan ang mga aso at pusa.
Dogs are expensive to feed.	Mahal pakainin ang mga aso.
Dogs are expensive to take care of.	Mahal alagaan ang mga aso.
Dogs evolved from wolves.	Galing sa mga lobo ang mga aso.
Dogs have intestines.	May mga bituka ang mga aso.
Dogs will eat anything.	Kakain ng kahit ano ang mga aso.
Don't be afraid to fail.	Huwag kang matakot magkamali.
Don't be ashamed to ask.	Wag mahihiyang mag-tanong.
Don't be late for school.	wag kang magpapahuli ng pasok.
Don't be late for the train.	wag kang magpapahuli sa tren.
Don't be late for work.	wag kang magpapahuli sa trabaho.
Don't be late tomorrow.	Huwag kang mahuli bukas.
Don't be late tomorrow.	Huwag ka'ng maging huli bukas.
Don't be shy in class.	Huwag kang mahiya sa klase.
Don't call him a pig.	Huwag mo siya tawaging baboy.
Don't chase success.	Wag mong habulin ang tagumpay.
Don't cheat in the exam.	Huwag kang mandaya sa pagsusulit.
Don't cram blindly.	Huwag magpakabulag sa pag-aaral.
Don't drive so fast.	Huwag ka magmaneho ng mabilis.
Don't easily give up.	Huwag basta-bastang susuko.
Don't ever call me again.	Huwag mo na ko tawagan kahit kailan.
Don't ever change.	Huwag na huwag kang magbabago.
Don't ever come back.	Huwag ka nang bumalik pa.
Don't ever cross me.	Huwag na huwag mo akong kakalabanin.
Don't ever do that again.	Huwag mo nang gagawin ulit iyon.
Don't ever do this again.	Huwag mo nang gagawin ulit ito.
Don't ever doubt it.	Huwag na huwag mo itong pagdududahan.
Don't ever forget that.	Huwag na huwag mo itong kalilimutan.
Don't ever let go.	Huwag na huwag kang bibitiw.
Don't ever look down.	Huwag na huwag kang tumingin sa baba.
Don't ever say that.	Huwag na huwag mo itong sabihin.
Don't ever think that.	Huwag na huwag mong iisipin yan.
Don't ever touch me.	Huwag na huwag mo akong hahawakan.
Don't eye my wife.	Huwag yung asawa ko ang tingnan ninyo.
Don't flatter yourself!	Huwag mong bolahin ang iyong sarili!
Don't forget this date.	Huwag mong kalimutan ang araw na ito.
Don't forget to drink water.	Wag kalimutang uminom ng tubig.
Don't get so uptight.	Huwag kang masyadong magalit.
Don't go out after dark.	huwag lumabas pagsapit ng dilim.
Don't go to the forest.	Wag kang pumunta sa gubat.
Don't harm my cat!	Huwag mong saktan ang aking pusa!
Don't harm my dog!	Huwag mong saktan ang aking aso!
Don't leave me behind!	Huwag ninyo akong iwanan!
Don't litter in the corridor.	Huwag magkalat sa pasilyo.
Don't marry that ass.	Wag mong pakasalan ang gunggong na yan.
Don't rush into marriage.	Huwag kang magmadaling magpakasal.
Don't sleep during class.	Huwag ka matulog habang nasa klase.
Don't sleep in class.	Huwag kang matulog sa klase.
Don't stare at me like that.	Wag mo akong titigan ng ganyang.
Don't stay too late.	Wag ka masyadong magpuyat.
Don't stay up late at night.	Wag kang nagpupuyat.
Don't stay up too late.	wag kang masyadong magpupuyat.
Don't step on the kneeling area.	Huwag tapakan ang luhuran.
Don't stop believing.	Huwag kang tumigil na maniwala.
Don't take it personally.	Wag mong personalin yun.
Don't take it too seriously.	Huwag mo masyadong seryosohin.
Don't talk to your seatmate.	Huwag makikipag-usap sa katabi.
Don't tell me that.	Huwag mo akong sabihan niya.
Don't thank me yet.	Huwag mo muna akong pasalamatan.
Don't they ever give up?	Hindi ba sila sumusuko kailanman?
Don't touch my birdie.	Huwag mong hawakan ang aking birdie.
Don't try to deceive me.	Huwag mo akong niloloko.
Don't wait to be motivated.	Huwag maghintay na maganyak.
Don't waste my time.	Huwag mong sayangin ang oras ko.
Don't worry too much.	Huwag kang masyadong mag-alala.
Don't yell my name.	Huwag mo isigaw ang pangalan ko.
Don't you ever come back.	Huwag ka nang bumalik kailanman.
Don't you ever give up?	Hinding hindi ka ba sumusuko?
Don't you ever leave me.	Huwag na huwag mo akong iiwan.
Don't you ever listen?	Hindi ka ba talaga makikinig?
Don't you ever shut up?	Hindi ka ba tumatahimik?
Don't you feel well?	Hindi ba maganda ang pakiramdam mo?
Don't you hate working?	Hindi Bakit ayaw mo magtrabaho?
Don't you have work tomorrow?	wala ka bang trabaho bukas?
don't pay attention to him.	Huwag mo siyang pansinin.
Don't ring at 8 o'clock.	Huwag kang tumawag ng alas otso.
Don't you ever go near me again!	Huwag mo na ako lalapitan uli!
don't drink and drive.	Huwag ka uminom at magmaneho.
don't sleep while driving.	Huwag ka matulog habang nagmamaneho.
Doctor Willy is the director.	Ang direktor ay si Doctor Willy.
Dracula sips on blood.	Sinisipsip ni Dracula ay dugo.
Drawing makes me happy.	Nakakasaya sa akin ang pagguhit.
Dreaming of being yours.	Nangangarap na mapasayo.
Drink water everyday.	Uminom ka ng tubig araw araw.
Drink your medicine.	Inumin mo ang iyong gamot.
Driving relaxes me.	Nakakapahinga ang pagmamaneho.
Drowsiness could not be resisted.	Hindi mapigilan ang antok.
Ducks can handle ice.	Kaya ng mga bibe ang nyebe.
Ducks can handle the cold.	Kaya ng mga bibe ang lamig.
durian is getting more expensive.	mas nagmumura ang duryan.
Durian is more expensive.	Mas mahal ang duryan.
durian is not that cheap.	hindi ganoon kamura ang duryan.
durian is the most expensive.	pinakamahal ang duryan.
Durian is very expensive.	Napakamahal ng duryan.
During the competition.	Habang nasa kumpetisyon.
During the neolithic period.	Sa gitna ng Panahong Neolitiko.
During this time.	Sa gitna ng kapanahunang ito.
Each cat trained hard.	Bawat pusa ay nagsanay ng matindi.
Each individual is different.	Ang bawat indibidwal ay iba.
Earn money with honesty.	Kumita ng pera nang may katapatan.
Eat as much as you can.	Kumain ka habang kaya mo.
Eat lots of rice.	Kumain ka nang maraming kanin.
Eat the food I cooked.	Kumain ka ng aking niluto.
Eat this for your health.	Kumain ka nito para sa kalusugan mo.
Eat this for your heart.	Kumain ka nito para sa puso mo.
Eat this for your kidney.	Kumain ka nito para sa bato mo.
Eat this for your lung.	Kumain ka nito para sa baga mo.
Eat this for your sickness.	Kumain ka nito para sa sakit mo.
Eating pizza is delicious.	Masarap kumain ng pizza.
Echinodermata 7,000 types.	Echinodermata 7,000 mga uri.
Ectoprocta 4,500 types.	Ectoprocta 4,500 mga uri.
eggplant is getting more expensive.	mas nagmumura ang talong.
Eggplant is good for the body.	Maganda sa katawan ang talong.
Eggplant is more expensive.	Mas mahal ang talong.
eggplant is not that cheap.	hindi ganoon kamura ang talong.
Eggplant is nutritious.	Ang talong ay masustansya.
Eggplant is the cheapest.	Pinakamura ang talong.
eggplant is the most expensive.	pinakamahal ang talong.
eggplant is very expensive.	napakamahal ng talong.
Eggplant makes you smarter.	Pampatalino ang talong.
Eight hundred thousand pesos.	Walong daang libong piso.
Eight hundred thousand years.	Walong daang libong taon.
Eighty seven students.	Walompu't pitong estudyante.
Elephants can paint.	Kayang magpinta ng mga elepante.
Elizabeth will be going to sleep.	Matutulog na si Elizabeth.
Ella's actions are demure.	Mahinhin ang mga kilos ni Ella.
Encircle the right answer.	Bilugan ang tamang sagot.
End times prophecy.	Hula sa kawakasan ng panahon.
Energy is always conserved.	Ang enerhiya ay naiimbak.
Engineering is hard.	Ang inhinyeriya ay mahirap.
Engineering is my passion.	Mahal ko ang inhenyeriya.
Enjoy your holidays.	Sulitin mo ang bakasyon mo.
Enjoy your holidays.	Magpakasaya sa inyong bakasyon.
Especially if you're alone.	Lalo na kung mag-isa ka.
Ester's eyes are beautiful.	Maganda ang mga mata ni Ester.
Ester's eyes are beautiful.	Ang ganda ng mga mata ni Ester.
Ester's eyes are okay.	Okay lang ang mga mata ni Ester.
Ester's eyes are okay.	Ayos lang ang mga mata ni Ester.
Ester's hair is beautiful.	Maganda ang buhok ni Ester.
Ester's hair is beautiful.	Ang ganda ng buhok ni Ester.
Ester's hair is okay.	Okay lang ang buhok ni Ester.
Ester's hair is okay.	Ayos lang ang buhok ni Ester.
Ester's posture is beautiful.	Maganda ang tindig ni Ester.
Ester's posture is beautiful.	Ang ganda ng tindig ni Ester.
Ester's posture is okay.	Okay lang ang tindig ni Ester.
Ester's posture is okay.	Ayos lang ang tindig ni Ester.
Ester's voice is beautiful.	Maganda ang boses ni Ester.
Ester's voice is beautiful.	Ang ganda ng boses ni Ester.
Ester's voice is okay.	Okay lang ang boses ni Ester.
Ester's voice is okay.	Ayos lang ang boses ni Ester.
Europeans like to alcohol.	Mahilig sa alak ang mga European.
even have a scripture.	kahit na banal na kasulatan.
Even if you come first.	Kahit na ikaw pa ang mauna.
Even physically go up.	Siya pisikal na umakyat.
Every day for the past month.	Araw araw noong nakaraang buwan.
Every moment matters.	Bawat sandali ay mahalaga.
Every person is unique.	Ang bawat tao'y natatangi.
everybody can go on sunday.	lahat ay makakapunta sa linggo.
Everybody desires happiness.	Gusto ng lahat ang kaligayahan.
everybody employs them.	lahat ay gumagamit ng mga ito.
Everybody is talking about me.	Pinaguusapan ako ng lahat.
Everybody is watching us.	Pinapanood tayo ng lahat.
Everybody loves the cow.	Mahal ng lahat ang baka.
Everybody should wear blue.	Lahat ay dapat magsuot ng asul.
Everyone has a bad day.	Lahat ay hindi maganda ang araw.
Everyone is asleep now.	Lahat ng tao ay tulog na ngayon.
Everyone out of the room.	Lumabas muna kayong lahat.
Everyone wants to attend.	Lahat sila ay gustong pumunta.
Everyone was so friendly.	Ang lahat ay napakabait.
Everything changes.	Lahat ng bagay ay nagbabago.
Everything is getting expensive.	Nagiging mahal ang lahat.
Everything is possible.	Lahat ng bagay ay may posibilidad.
Everything is set for tomorrow.	Handa na ang lahat para bukas.
everything was going to be better.	magiging maayos na lahat.
Everything will be alright.	Lahat ay magiging maayos.
Everything will be fine.	Magiging maayos din ang lahat.
Everything will change.	Lahat ng bagay ay magbabago.
Evil once ruled the earth.	Noon nanaig ang kasamaan sa mundo.
Evil sometimes wins.	Minsan, nananalo ang kasamaan.
Evil will not prevail.	Hindi magwawagi ang kasamaan.
Except for Nina Dolma.	Maliban para kay Nina Dolma.
Excuse me for being late.	paumanhin sa paghuli ng dating.
Excuse me, but I think this is my seat.	Paumanhin, pero palagay ko ito ang aking upuan.
Exercising is like a drug.	Ang pageehersisyo ay parang gamot.
Explain yourself.	Ipaliwanag mo ang iyong sarili.
Face this doctrine.	Maharao ang doktrinang ito.
Face you problem.	Harapin mo ang iyong problema.
Face your fears.	Harapin moa ng iyong mga takot.
Farmers should be rich.	Mayayaman dapat ang mga magsasaka.
Fashions change quickly.	Mabilis magbago ang fashion.
Father do you have change?	May barya ka po tatay?
Father fixed the car.	Inayos ni tatay ang sasakyan.
Father is coming home tomorrow.	uuwi na si Ama bukas.
Feed the pet rabbit.	Pakainin mo ang alagang kuneho.
Feed the pet rabbits.	Pakainin mo ang mga alagang kuneho.
feet were as the feet of a bear.	paa ay gaya ng sa oso.
Felipa called this morning.	tumawag si Felipa kaninang umaga.
Ferb is good in singing.	Si Ferb ay magaling kumanta.
Fifty four students.	Limampu't apatng estudyante.
Fifty pesos is all I have.	Limampung piso lang ang meron ako.
Fight along with my blade.	Lumaban kasama ang aking patalim.
Fight it out by drinking.	Sa alak na lang kayo maglaban.
Filipinos are so hard-headed.	Matigas ang ulo ng mga Pilipino.
Fill in the empty space.	Punan mo ang mga patlang.
Fill in the form below.	Punan ang form sa ibaba.
Fill up the glass with water.	Punuin mo ng tubig ang baso.
Finally, it's Friday.	Sa wakas, Biyernes na.
Finally, she was found.	Sa wakas nahanap din siya.
Finally, we succeeded.	Sa wakas, nagtagumpay kami.
find me unconscious.	makikita ninyo akong walang malay.
Find new players.	Maghanap ka ng bagong mga maglalaro.
Finish what you started.	Tapusin mo ang iyong sinimulan.
Finn and Jake are friends.	Si Finn at Jake ay magkaibingan.
Fire him immediately!	Sisantehin mo na siya ora mismo!
Fireflies can fly.	Kayang lumipad ng mga alitaptap.
First Friday is on August 4.	Unang Biyernes ay sa Agosto 4.
First Friday is on July 7.	Unang Biyernes ay Hulyo 7.
First Friday is on June 2.	Unang Biyernes ay sa Hunyo 2.
First Monday is on August 7.	Unang Lunes ay sa Agosto 7.
First Monday is on July 3.	Unang Lunes ay Hulyo 3.
First Monday is on June 5.	Unang Lunes ay sa Hunyo 5.
First Saturday is on 1 July.	Unang Sabado ay Hulyo 1.
First Saturday is on August 5.	Unang Sabado ay sa Agosto 5.
